# X T Absolute_Difference
0.24 0.02 4.5084e-07
0.25 0.02 4.42353e-07
0.26 0.02 4.38955e-07
0.27 0.02 4.40659e-07
0.28 0.02 4.47544e-07
0.29 0.02 4.59755e-07
0.3 0.02 4.7751e-07
0.31 0.02 5.01106e-07
0.32 0.02 5.3092e-07
0.33 0.02 5.67424e-07
0.34 0.02 6.11186e-07
0.35 0.02 6.62883e-07
0.36 0.02 7.23312e-07
0.37 0.02 7.93404e-07
0.38 0.02 8.74234e-07
0.39 0.02 9.67041e-07
0.4 0.02 1.07325e-06
0.41 0.02 1.19448e-06
0.42 0.02 1.33258e-06
0.43 0.02 1.48966e-06
0.44 0.02 1.6681e-06
0.45 0.02 1.87063e-06
0.46 0.02 2.10029e-06
0.47 0.02 2.36056e-06
0.48 0.02 2.65534e-06
0.49 0.02 2.98906e-06
0.5 0.02 3.36669e-06
0.51 0.02 3.79384e-06
0.52 0.02 4.27681e-06
0.53 0.02 4.82271e-06
0.54 0.02 5.43952e-06
0.55 0.02 6.13619e-06
0.56 0.02 6.92278e-06
0.57 0.02 7.81057e-06
0.58 0.02 8.81218e-06
0.59 0.02 9.94177e-06
0.6 0.02 1.12151e-05
0.61 0.02 1.265e-05
0.62 0.02 1.4266e-05
0.63 0.02 1.60853e-05
0.64 0.02 1.81323e-05
0.65 0.02 2.04344e-05
0.66 0.02 2.30218e-05
0.67 0.02 2.59282e-05
0.68 0.02 2.9191e-05
0.69 0.02 3.28514e-05
0.7 0.02 3.69551e-05
0.71 0.02 4.15524e-05
0.72 0.02 4.66985e-05
0.73 0.02 5.24545e-05
0.74 0.02 5.88868e-05
0.75 0.02 6.60684e-05
0.76 0.02 7.40784e-05
0.77 0.02 8.30032e-05
0.78 0.02 9.29359e-05
0.79 0.02 0.000103977
0.8 0.02 0.000116234
0.81 0.02 0.000129822
0.82 0.02 0.000144863
0.83 0.02 0.000161485
0.84 0.02 0.000179821
0.85 0.02 0.00020001
0.86 0.02 0.00022219
0.87 0.02 0.000246501
0.88 0.02 0.00027308
0.89 0.02 0.000302056
0.9 0.02 0.000333542
0.91 0.02 0.000367635
0.92 0.02 0.0004044
0.93 0.02 0.000443863
0.94 0.02 0.000485996
0.95 0.02 0.000530701
0.96 0.02 0.000577788
0.97 0.02 0.00062695
0.98 0.02 0.000677733
0.99 0.02 0.000729497
1 0.02 0.000781368

0 0.03 3.78388e-06
0.01 0.03 3.5743e-06
0.02 0.03 3.3791e-06
0.03 0.03 3.19578e-06
0.04 0.03 3.02267e-06
0.05 0.03 2.8587e-06
0.06 0.03 2.7032e-06
0.07 0.03 2.55585e-06
0.08 0.03 2.41653e-06
0.09 0.03 2.28526e-06
0.1 0.03 2.16216e-06
0.11 0.03 2.04742e-06
0.12 0.03 1.94124e-06
0.13 0.03 1.84386e-06
0.14 0.03 1.75553e-06
0.15 0.03 1.67651e-06
0.16 0.03 1.60707e-06
0.17 0.03 1.54749e-06
0.18 0.03 1.49808e-06
0.19 0.03 1.45918e-06
0.2 0.03 1.43117e-06
0.21 0.03 1.41448e-06
0.22 0.03 1.40959e-06
0.23 0.03 1.41706e-06
0.24 0.03 1.43756e-06
0.25 0.03 1.47183e-06
0.26 0.03 1.52074e-06
0.27 0.03 1.58528e-06
0.28 0.03 1.6666e-06
0.29 0.03 1.766e-06
0.3 0.03 1.88499e-06
0.31 0.03 2.02523e-06
0.32 0.03 2.18867e-06
0.33 0.03 2.37746e-06
0.34 0.03 2.59404e-06
0.35 0.03 2.84117e-06
0.36 0.03 3.1219e-06
0.37 0.03 3.43969e-06
0.38 0.03 3.79836e-06
0.39 0.03 4.20222e-06
0.4 0.03 4.65601e-06
0.41 0.03 5.16503e-06
0.42 0.03 5.73515e-06
0.43 0.03 6.37287e-06
0.44 0.03 7.08536e-06
0.45 0.03 7.88057e-06
0.46 0.03 8.76726e-06
0.47 0.03 9.75504e-06
0.48 0.03 1.08545e-05
0.49 0.03 1.20774e-05
0.5 0.03 1.34363e-05
0.51 0.03 1.49454e-05
0.52 0.03 1.66198e-05
0.53 0.03 1.84763e-05
0.54 0.03 2.05331e-05
0.55 0.03 2.28099e-05
0.56 0.03 2.53283e-05
0.57 0.03 2.81117e-05
0.58 0.03 3.11851e-05
0.59 0.03 3.4576e-05
0.6 0.03 3.83136e-05
0.61 0.03 4.24295e-05
0.62 0.03 4.69576e-05
0.63 0.03 5.19341e-05
0.64 0.03 5.73975e-05
0.65 0.03 6.33888e-05
0.66 0.03 6.99515e-05
0.67 0.03 7.71313e-05
0.68 0.03 8.49764e-05
0.69 0.03 9.3537e-05
0.7 0.03 0.000102866
0.71 0.03 0.000113016
0.72 0.03 0.000124044
0.73 0.03 0.000136007
0.74 0.03 0.000148962
0.75 0.03 0.000162966
0.76 0.03 0.000178077
0.77 0.03 0.00019435
0.78 0.03 0.00021184
0.79 0.03 0.000230596
0.8 0.03 0.000250665
0.81 0.03 0.000272089
0.82 0.03 0.000294902
0.83 0.03 0.000319133
0.84 0.03 0.000344798
0.85 0.03 0.000371908
0.86 0.03 0.000400461
0.87 0.03 0.000430444
0.88 0.03 0.000461836
0.89 0.03 0.000494602
0.9 0.03 0.000528705
